model_name,timestamp,accuracy,f1_score,precision,recall,cv_mean,cv_std,best_params,data_source
Logistic Regression,2025-11-01T23:30:10.698707,0.9791666666666666,0.9757397580396024,0.9806482455055253,0.9791666666666666,0.9885416666666668,0.0038975597778895146,"{'clf__C': 10.0, 'clf__max_iter': 1000, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",csv
Naive Bayes,2025-11-01T23:30:11.084008,0.9791666666666666,0.9757397580396024,0.9806482455055253,0.9791666666666666,0.9895833333333334,0.005705443307345481,"{'clf__alpha': 0.1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",csv
Linear SVM,2025-11-01T23:30:11.467431,0.9833333333333333,0.9821432582191826,0.9843396445457615,0.9833333333333333,0.99375,0.0060739082237971816,"{'clf__C': 10.0, 'clf__max_iter': 2000, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",csv
Random Forest,2025-11-01T23:30:15.357931,0.9541666666666667,0.9526102754396943,0.9519689865841181,0.9541666666666667,0.9697916666666666,0.010099333036284013,"{'clf__max_depth': None, 'clf__n_estimators': 100, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 2)}",csv
